:START_ID,:END_ID,:TYPE,object_type,source_caseid,observed_date,confidence
1000001,7701234567890011,MENTIONS,accounts,1000001,2026-04-18,1.0
1000002,7701234567890022,MENTIONS,accounts,1000002,2026-04-18,1.0
1000003,7701234567890033,MENTIONS,accounts,1000003,2026-04-17,1.0
1000004,DECOY00000000001,MENTIONS,accounts,1000004,2026-03-12,1.0
1000005,9611234567,MENTIONS,phones,1000005,2024-08-16,1.0
1000005,8810987654321001,MENTIONS,accounts,1000005,2024-08-16,1.0
1000005,imran.transactions@axl,MENTIONS,upis,1000005,2024-08-16,1.0
1000006,9611234567,MENTIONS,phones,1000006,2025-03-28,1.0
1000006,8810987654321002,MENTIONS,accounts,1000006,2025-03-28,1.0
1000006,imran.transactions@axl,MENTIONS,upis,1000006,2025-03-28,1.0
1000007,9611234567,MENTIONS,phones,1000007,2025-11-17,1.0
1000007,8810987654321003,MENTIONS,accounts,1000007,2025-11-17,1.0
1000007,imran.transactions@axl,MENTIONS,upis,1000007,2025-11-17,1.0
1000008,5530123456789001,MENTIONS,accounts,1000008,2026-02-08,1.0
1000009,5530123456789002,MENTIONS,accounts,1000009,2026-01-23,1.0
1000010,3538160812,MENTIONS,phones,1000010,2026-06-12,1.0
1000010,4440988776655007,MENTIONS,accounts,1000010,2026-06-12,1.0
1000010,4440988776655001,MENTIONS,accounts,1000010,2026-06-12,1.0
1000010,jobapp007@hdfcbank,MENTIONS,upis,1000010,2026-06-12,1.0
1000010,earnfast001@paytm,MENTIONS,upis,1000010,2026-06-12,1.0
1000010,353816081234505,MENTIONS,imeis,1000010,2026-06-12,1.0
1000010,103.74.19.142,MENTIONS,ips,1000010,2026-06-12,1.0
1000011,3538160812,MENTIONS,phones,1000011,2026-06-24,1.0
1000011,4440988776655002,MENTIONS,accounts,1000011,2026-06-24,1.0
1000011,4440988776655001,MENTIONS,accounts,1000011,2026-06-24,1.0
1000011,4440988776655005,MENTIONS,accounts,1000011,2026-06-24,1.0
1000011,taskpro002@airtel,MENTIONS,upis,1000011,2026-06-24,1.0
1000011,earnfast001@paytm,MENTIONS,upis,1000011,2026-06-24,1.0
1000011,simpletask005@okhdfcbank,MENTIONS,upis,1000011,2026-06-24,1.0
1000011,353816081234501,MENTIONS,imeis,1000011,2026-06-24,1.0
1000011,103.74.19.143,MENTIONS,ips,1000011,2026-06-24,1.0
1000012,3538160812,MENTIONS,phones,1000012,2026-06-21,1.0
1000012,4440988776655003,MENTIONS,accounts,1000012,2026-06-21,1.0
1000012,4440988776655005,MENTIONS,accounts,1000012,2026-06-21,1.0
1000012,dailywork003@fino,MENTIONS,upis,1000012,2026-06-21,1.0
1000012,simpletask005@okhdfcbank,MENTIONS,upis,1000012,2026-06-21,1.0
1000012,353816081234505,MENTIONS,imeis,1000012,2026-06-21,1.0
1000012,103.74.19.142,MENTIONS,ips,1000012,2026-06-21,1.0
1000013,3538160812,MENTIONS,phones,1000013,2026-06-16,1.0
