EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
5001,2901,1001,7,1,KG001001,Venkatesh Kumar,1980-01-01,1,1,0,2005-01-01
5002,2901,1003,7,1,KG001002,Priya Shankar,1980-01-01,2,1,0,2005-01-01
5003,2903,1009,7,1,KG002001,Manjunath Gowda,1980-01-01,1,1,0,2005-01-01
5004,2904,1012,7,1,KG003001,Savitha Nagaraj,1980-01-01,2,1,0,2005-01-01
5005,2905,1014,7,1,KG004001,Ravi Krishnamurthy,1980-01-01,1,1,0,2005-01-01
5006,2906,1016,7,1,KG005001,Anand Hegde,1980-01-01,1,1,0,2005-01-01
5007,2919,1018,7,1,KG006001,Deepa Kamath,1980-01-01,2,1,0,2005-01-01
5008,2911,1019,7,1,KG007001,Suresh Patil,1980-01-01,1,1,0,2005-01-01
5009,2907,1021,7,1,KG008001,Girish Rao,1980-01-01,1,1,0,2005-01-01
5010,2901,1005,7,1,KG001003,Kavitha Reddy,1980-01-01,2,1,0,2005-01-01
5011,2909,1023,7,1,KG009001,Basavaraj Gudadinni,1980-01-01,1,1,0,2005-01-01
5012,2914,1025,7,1,KG010001,Nirmala Shetty,1980-01-01,2,1,0,2005-01-01
